time,W,
1657321759,5.244,
1657321760,5.244,
1657321761,5.267,
1657321762,5.252,
1657321763,5.252,
1657321764,5.233,
1657321765,5.279,
1657321766,5.271,
1657321767,5.229,
1657321768,5.263,
1657321769,5.244,
1657321770,5.267,
1657321771,5.267,
1657321772,5.263,
1657321773,5.263,
1657321774,5.241,
1657321775,5.237,
1657321776,5.237,
1657321777,5.237,
1657321778,5.267,
1657321779,5.229,
1657321780,5.267,
1657321781,5.26,
1657321782,5.26,
1657321783,5.26,
1657321784,5.237,
1657321785,5.263,
1657321786,5.263,
1657321787,5.244,
1657321788,5.26,
1657321789,5.26,
1657321790,5.267,
1657321791,5.26,
1657321792,5.275,
1657321793,5.279,
1657321794,5.279,
1657321795,5.286,
1657321796,5.286,
1657321797,5.237,
1657321798,5.256,
1657321799,5.275,
1657321800,5.267,
1657321801,5.26,
1657321802,5.286,
1657321803,5.286,
1657321804,5.275,
1657321805,5.275,
1657321806,5.229,
1657321807,5.233,
1657321808,5.233,
1657321809,5.286,
1657321810,5.305,
1657321811,5.294,
1657321812,5.229,
1657321813,5.275,
1657321814,5.229,
1657321815,5.221,
1657321816,5.225,
1657321817,5.286,
1657321818,5.286,
1657321819,5.26,
1657321820,5.267,
1657321821,5.267,
1657321822,5.267,
1657321823,5.267,
1657321824,5.267,
1657321825,5.256,
1657321826,5.256,
1657321827,5.237,
1657321828,5.275,
1657321829,5.267,
1657321830,5.275,
1657321831,5.26,
1657321832,5.279,
1657321833,5.267,
1657321834,5.267,
1657321835,5.252,
1657321836,5.218,
1657321837,5.218,
1657321838,5.26,
1657321839,5.286,
1657321840,5.248,
1657321841,5.271,
1657321842,5.271,
1657321843,5.271,
1657321844,5.26,
1657321845,5.279,
1657321846,5.241,
1657321847,5.26,
1657321848,5.271,
1657321849,5.267,
1657321850,5.252,
1657321851,5.252,
1657321852,5.21,
1657321853,5.21,
1657321854,5.26,
1657321855,5.279,
1657321856,5.279,
1657321857,5.279,
1657321858,5.271,
1657321859,5.26,
1657321860,5.225,
1657321861,5.244,
1657321862,5.286,
1657321863,5.26,
1657321864,5.26,
1657321865,5.26,
1657321866,5.283,
1657321867,5.267,
1657321868,5.248,
1657321869,5.263,
1657321870,5.29,
1657321871,5.237,
1657321872,5.279,
1657321873,5.229,
1657321874,5.244,
1657321875,5.221,
1657321876,5.279,
1657321877,5.256,
1657321878,5.279,
1657321879,5.275,
1657321880,5.229,
1657321881,5.263,
1657321882,5.263,
1657321883,5.279,
1657321884,5.237,
1657321885,5.279,
1657321886,5.221,
1657321887,5.248,
1657321888,5.248,
1657321889,5.248,
1657321890,5.21,
1657321891,5.271,
1657321892,5.248,
1657321893,5.241,
1657321894,5.233,
1657321895,5.294,
1657321896,5.229,
1657321897,5.237,
1657321898,5.241,
1657321899,5.29,
1657321900,5.275,
1657321901,5.233,
1657321902,5.233,
1657321903,5.244,
1657321904,5.263,
1657321905,5.29,
1657321906,5.271,
1657321907,5.283,
1657321908,5.275,
1657321909,5.206,
1657321910,5.248,
1657321911,5.237,
1657321912,5.267,
1657321913,5.267,
1657321914,5.241,
