time,W,
1657307078,0.0,
1657307079,3.825,
1657307080,4.908,
1657307081,4.908,
1657307082,4.908,
1657307083,4.908,
1657307084,4.908,
1657307085,4.908,
1657307086,4.939,
1657307087,4.939,
1657307088,4.97,
1657307089,4.996,
1657307090,4.996,
1657307091,4.996,
1657307092,4.939,
1657307093,4.981,
1657307094,4.928,
1657307095,4.939,
1657307096,4.939,
1657307097,4.977,
1657307098,4.924,
1657307099,4.962,
1657307100,4.981,
1657307101,5.0,
1657307102,4.985,
1657307103,4.981,
1657307104,4.981,
1657307105,4.954,
1657307106,4.966,
1657307107,4.966,
1657307108,4.966,
1657307109,4.935,
1657307110,4.958,
1657307111,4.996,
1657307112,4.962,
1657307113,4.962,
1657307114,4.962,
1657307115,4.943,
1657307116,4.992,
1657307117,4.97,
1657307118,4.996,
1657307119,4.996,
1657307120,4.996,
1657307121,4.916,
1657307122,4.916,
1657307123,4.928,
1657307124,4.928,
1657307125,4.928,
1657307126,5.015,
1657307127,4.928,
1657307128,4.996,
1657307129,5.004,
1657307130,4.989,
1657307131,4.931,
1657307132,4.966,
1657307133,4.966,
1657307134,4.95,
1657307135,4.95,
1657307136,4.943,
1657307137,4.966,
1657307138,4.939,
1657307139,4.943,
1657307140,4.958,
1657307141,4.989,
1657307142,4.912,
1657307143,4.912,
1657307144,4.912,
1657307145,5.015,
1657307146,4.943,
1657307147,5.008,
1657307148,4.958,
1657307149,4.973,
1657307150,4.973,
1657307151,5.027,
1657307152,5.004,
1657307153,5.015,
1657307154,5.015,
1657307155,4.981,
1657307156,4.989,
1657307157,4.989,
1657307158,5.012,
1657307159,4.95,
1657307160,4.97,
1657307161,4.97,
1657307162,4.958,
1657307163,5.008,
1657307164,5.015,
1657307165,4.962,
1657307166,4.966,
1657307167,4.966,
1657307168,4.947,
1657307169,4.97,
1657307170,5.012,
1657307171,4.977,
1657307172,4.924,
1657307173,4.924,
1657307174,5.0,
1657307175,5.0,
1657307176,4.97,
1657307177,5.004,
1657307178,5.004,
1657307179,5.019,
1657307180,5.0,
1657307181,5.0,
1657307182,5.0,
1657307183,4.95,
1657307184,5.012,
1657307185,4.962,
1657307186,4.966,
1657307187,5.004,
1657307188,4.97,
1657307189,4.939,
1657307190,5.0,
1657307191,5.0,
1657307192,4.966,
1657307193,4.939,
1657307194,5.004,
1657307195,5.019,
1657307196,5.019,
1657307197,5.019,
1657307198,4.935,
1657307199,4.989,
1657307200,4.985,
1657307201,4.973,
1657307202,4.958,
1657307203,4.962,
1657307204,4.985,
1657307205,4.973,
1657307206,5.019,
1657307207,4.958,
1657307208,5.031,
1657307209,5.031,
1657307210,5.015,
1657307211,4.973,
1657307212,4.989,
1657307213,4.992,
1657307214,4.992,
1657307215,4.962,
1657307216,4.973,
1657307217,4.973,
1657307218,4.928,
1657307219,4.97,
1657307220,4.97,
1657307221,5.004,
1657307222,4.95,
1657307223,5.015,
1657307224,4.939,
1657307225,4.966,
1657307226,4.966,
1657307227,4.97,
1657307228,4.981,
