time,W,
1657309860,5.26,
1657309861,5.378,
1657309862,5.542,
1657309863,5.412,
1657309864,5.256,
1657309865,5.256,
1657309866,5.302,
1657309867,5.397,
1657309868,5.401,
1657309869,5.313,
1657309870,5.489,
1657309871,5.416,
1657309872,5.351,
1657309873,5.317,
1657309874,5.275,
1657309875,5.401,
1657309876,5.145,
1657309877,5.504,
1657309878,5.382,
1657309879,5.313,
1657309880,5.286,
1657309881,5.489,
1657309882,5.393,
1657309883,5.336,
1657309884,5.244,
1657309885,5.374,
1657309886,5.458,
1657309887,5.351,
1657309888,5.397,
1657309889,5.363,
1657309890,5.397,
1657309891,5.473,
1657309892,5.397,
1657309893,5.397,
1657309894,5.405,
1657309895,5.374,
1657309896,5.225,
1657309897,5.47,
1657309898,5.71,
1657309899,6.046,
1657309900,5.855,
1657309901,5.836,
1657309902,5.954,
1657309903,5.836,
1657309904,6.061,
1657309905,5.97,
1657309906,6.065,
1657309907,5.951,
1657309908,5.951,
1657309909,5.901,
1657309910,5.374,
1657309911,5.401,
1657309912,5.29,
1657309913,5.29,
1657309914,5.29,
1657309915,5.336,
1657309916,5.321,
1657309917,5.286,
1657309918,5.325,
1657309919,5.332,
1657309920,5.496,
1657309921,5.328,
1657309922,5.302,
1657309923,5.309,
1657309924,5.363,
1657309925,5.279,
1657309926,5.367,
1657309927,5.202,
1657309928,5.248,
1657309929,5.347,
1657309930,5.305,
1657309931,5.294,
1657309932,5.302,
1657309933,5.45,
1657309934,5.409,
1657309935,5.466,
1657309936,5.435,
1657309937,5.313,
1657309938,5.328,
1657309939,5.347,
1657309940,5.347,
1657309941,5.233,
1657309942,5.237,
1657309943,5.237,
1657309944,5.439,
1657309945,5.439,
1657309946,5.389,
1657309947,5.389,
1657309948,5.389,
1657309949,5.439,
1657309950,5.286,
1657309951,5.389,
1657309952,5.389,
1657309953,5.283,
1657309954,5.405,
1657309955,5.359,
1657309956,5.359,
1657309957,5.935,
1657309958,5.931,
1657309959,5.893,
1657309960,5.893,
1657309961,5.867,
1657309962,5.947,
1657309963,5.889,
1657309964,5.882,
1657309965,6.008,
1657309966,6.008,
1657309967,5.947,
1657309968,5.989,
1657309969,5.435,
1657309970,5.321,
1657309971,5.233,
1657309972,5.325,
1657309973,5.325,
1657309974,5.37,
1657309975,5.435,
1657309976,5.298,
1657309977,5.351,
