time,W,
1657325045,4.87,
1657325046,4.912,
1657325047,4.771,
1657325048,4.794,
1657325049,4.794,
1657325050,4.79,
1657325051,4.962,
1657325052,4.653,
1657325053,4.95,
1657325054,4.817,
1657325055,4.912,
1657325056,4.741,
1657325057,4.901,
1657325058,4.771,
1657325059,4.836,
1657325060,4.962,
1657325061,4.962,
1657325062,4.744,
1657325063,4.744,
1657325064,4.534,
1657325065,4.767,
1657325066,4.783,
1657325067,4.783,
1657325068,4.905,
1657325069,4.851,
1657325070,4.779,
1657325071,4.779,
1657325072,4.981,
1657325073,4.981,
1657325074,4.981,
1657325075,4.828,
1657325076,4.828,
1657325077,4.828,
1657325078,5.599,
1657325079,5.599,
1657325080,5.45,
1657325081,5.618,
1657325082,5.596,
1657325083,5.832,
1657325084,5.87,
1657325085,5.477,
1657325086,5.477,
1657325087,5.649,
1657325088,5.58,
1657325089,4.859,
1657325090,4.634,
1657325091,4.931,
1657325092,4.931,
1657325093,4.767,
1657325094,4.973,
1657325095,4.756,
1657325096,4.973,
1657325097,4.973,
1657325098,4.973,
1657325099,4.92,
1657325100,4.92,
1657325101,4.664,
1657325102,4.924,
1657325103,4.706,
1657325104,4.939,
1657325105,4.947,
1657325106,4.706,
1657325107,4.989,
1657325108,4.989,
1657325109,4.989,
1657325110,4.756,
1657325111,4.874,
1657325112,4.985,
1657325113,4.97,
1657325114,4.813,
1657325115,4.916,
1657325116,4.744,
1657325117,4.744,
1657325118,4.79,
1657325119,4.786,
1657325120,4.783,
1657325121,4.947,
1657325122,4.744,
1657325123,4.935,
1657325124,4.63,
1657325125,5.084,
1657325126,4.809,
1657325127,4.809,
1657325128,4.897,
1657325129,4.916,
1657325130,4.66,
1657325131,4.676,
1657325132,4.676,
1657325133,4.897,
1657325134,4.863,
1657325135,4.844,
1657325136,4.756,
1657325137,4.84,
1657325138,5.805,
1657325139,5.805,
1657325140,5.695,
1657325141,5.821,
1657325142,5.405,
1657325143,5.618,
1657325144,5.573,
1657325145,5.573,
1657325146,5.641,
1657325147,5.454,
1657325148,4.756,
1657325149,5.031,
1657325150,5.004,
1657325151,4.744,
1657325152,4.851,
1657325153,4.676,
1657325154,4.916,
1657325155,4.916,
1657325156,5.019,
1657325157,4.763,
1657325158,4.939,
1657325159,4.916,
1657325160,4.733,
1657325161,4.733,
1657325162,4.733,
1657325163,4.733,
1657325164,4.95,
1657325165,4.798,
1657325166,4.794,
1657325167,4.901,
1657325168,4.901,
1657325169,4.901,
1657325170,4.466,
1657325171,5.015,
1657325172,4.622,
1657325173,4.939,
1657325174,4.763,
1657325175,4.928,
1657325176,4.737,
1657325177,4.905,
1657325178,4.905,
1657325179,4.809,
1657325180,4.924,
1657325181,4.756,
1657325182,4.756,
1657325183,4.519,
1657325184,4.989,
1657325185,4.84,
1657325186,4.775,
1657325187,4.893,
1657325188,4.763,
1657325189,4.897,
1657325190,4.729,
1657325191,4.878,
1657325192,4.573,
1657325193,4.573,
1657325194,4.573,
1657325195,4.943,
1657325196,4.943,
1657325197,4.943,
1657325198,5.832,
1657325199,5.687,
1657325200,5.737,
1657325201,5.729,
1657325202,5.58,
1657325203,5.615,
1657325204,5.813,
1657325205,5.351,
1657325206,5.645,
1657325207,5.63,
1657325208,5.63,
1657325209,5.63,
1657325210,4.95,
1657325211,4.794,
1657325212,4.817,
1657325213,4.905,
1657325214,4.756,
1657325215,4.992,
1657325216,4.706,
1657325217,4.851,
1657325218,4.786,
1657325219,4.771,
1657325220,4.867,
1657325221,4.805,
1657325222,4.87,
1657325223,4.832,
1657325224,4.832,
1657325225,4.966,
1657325226,4.794,
1657325227,4.924,
1657325228,4.645,
1657325229,4.935,
1657325230,4.752,
1657325231,4.832,
1657325232,4.928,
1657325233,4.599,
1657325234,4.977,
1657325235,4.733,
1657325236,4.825,
1657325237,4.794,
1657325238,4.893,
1657325239,4.859,
1657325240,4.714,
1657325241,4.905,
1657325242,4.748,
1657325243,5.084,
1657325244,4.664,
1657325245,4.943,
1657325246,4.943,
1657325247,4.943,
1657325248,4.714,
1657325249,4.84,
1657325250,4.729,
1657325251,4.855,
1657325252,4.737,
1657325253,4.874,
1657325254,4.844,
1657325255,4.825,
1657325256,4.825,
1657325257,4.76,
1657325258,4.76,
1657325259,4.76,
1657325260,5.443,
1657325261,5.603,
1657325262,5.702,
1657325263,5.588,
1657325264,5.531,
1657325265,5.786,
1657325266,5.546,
1657325267,5.729,
1657325268,5.607,
1657325269,4.958,
1657325270,4.821,
1657325271,4.931,
1657325272,4.931,
1657325273,4.931,
1657325274,4.92,
1657325275,4.756,
1657325276,4.954,
1657325277,4.702,
1657325278,4.847,
1657325279,4.928,
1657325280,4.813,
1657325281,4.832,
1657325282,4.847,
1657325283,4.699,
1657325284,4.908,
1657325285,4.779,
1657325286,4.912,
1657325287,4.912,
1657325288,4.912,
1657325289,4.741,
1657325290,4.741,
1657325291,4.886,
1657325292,4.874,
1657325293,4.63,
1657325294,4.836,
1657325295,4.889,
1657325296,4.733,
1657325297,4.889,
1657325298,4.672,
1657325299,4.916,
1657325300,4.809,
1657325301,4.809,
1657325302,4.809,
1657325303,4.809,
1657325304,4.821,
1657325305,4.794,
1657325306,4.939,
1657325307,4.565,
1657325308,5.057,
1657325309,4.588,
1657325310,4.992,
1657325311,4.867,
1657325312,4.954,
1657325313,4.748,
1657325314,4.863,
1657325315,4.92,
1657325316,4.741,
1657325317,5.031,
1657325318,4.672,
1657325319,4.985,
1657325321,4.985,
1657325322,4.985,
1657325323,4.985,
1657325324,5.817,
1657325325,5.641,
1657325326,5.645,
1657325327,5.458,
1657325328,5.55,
1657325329,4.989,
1657325330,4.855,
1657325331,4.679,
1657325332,4.794,
1657325333,4.828,
1657325334,4.702,
1657325335,4.565,
1657325336,4.943,
1657325337,4.699,
1657325338,4.928,
1657325339,4.771,
1657325340,4.771,
1657325341,4.931,
1657325342,4.657,
1657325343,4.657,
1657325344,4.637,
1657325345,4.637,
1657325346,4.76,
1657325347,4.813,
1657325348,4.939,
1657325349,4.805,
1657325350,4.699,
1657325351,4.836,
1657325352,4.718,
1657325353,4.954,
1657325354,4.702,
1657325355,5.0,
1657325356,4.794,
1657325357,5.088,
1657325358,4.653,
1657325359,4.878,
1657325360,4.886,
1657325361,4.744,
1657325362,5.046,
1657325363,4.737,
1657325364,4.962,
1657325365,4.729,
1657325366,4.908,
1657325367,4.908,
1657325368,4.893,
1657325369,5.0,
1657325370,5.038,
1657325371,4.672,
1657325372,4.798,
1657325373,4.699,
1657325374,4.874,
1657325375,4.657,
1657325376,5.008,
1657325377,5.111,
1657325378,5.157,
1657325379,5.672,
1657325380,5.569,
1657325381,5.68,
1657325382,5.374,
1657325383,5.573,
1657325384,5.748,
1657325385,5.748,
1657325386,5.676,
1657325387,5.676,
1657325388,5.546,
1657325389,5.676,
1657325390,5.389,
1657325391,4.901,
1657325392,4.786,
1657325393,4.947,
1657325394,4.977,
1657325395,4.725,
1657325396,4.889,
1657325397,4.76,
1657325398,4.977,
1657325399,4.733,
1657325400,4.695,
1657325401,4.992,
1657325402,4.893,
1657325403,4.825,
1657325404,4.775,
1657325405,4.87,
1657325406,4.908,
1657325407,4.531,
1657325408,4.76,
1657325409,4.847,
1657325410,4.805,
1657325411,4.802,
1657325412,4.981,
1657325413,4.847,
1657325414,4.847,
1657325415,4.847,
1657325416,4.847,
1657325417,4.847,
1657325418,4.874,
1657325419,4.874,
1657325420,4.767,
1657325421,4.79,
1657325422,4.855,
1657325423,4.87,
1657325424,4.958,
1657325425,4.962,
1657325426,4.76,
1657325427,4.748,
1657325428,4.954,
1657325429,4.657,
1657325430,4.744,
1657325431,4.744,
1657325432,4.744,
1657325433,4.748,
1657325434,4.779,
1657325435,4.954,
1657325436,4.874,
1657325437,4.832,
1657325438,4.771,
1657325439,5.603,
1657325440,5.527,
1657325441,5.725,
1657325442,5.401,
1657325443,5.519,
1657325444,5.676,
1657325445,5.683,
1657325446,5.641,
1657325447,5.878,
1657325448,5.878,
1657325449,5.45,
1657325450,4.76,
1657325451,4.84,
1657325452,4.84,
1657325453,4.84,
1657325454,4.695,
1657325455,4.897,
1657325456,4.916,
1657325457,4.737,
1657325458,4.748,
1657325459,4.992,
1657325460,4.767,
1657325461,4.924,
1657325462,4.828,
1657325463,4.828,
1657325464,4.828,
1657325465,4.771,
1657325466,4.958,
1657325467,4.783,
1657325468,4.889,
1657325469,4.832,
1657325470,4.76,
1657325471,4.676,
1657325472,4.97,
1657325473,4.802,
1657325474,4.886,
1657325475,4.802,
1657325476,4.802,
1657325477,4.802,
1657325478,4.802,
1657325479,4.802,
1657325480,4.821,
1657325481,4.767,
1657325482,4.908,
1657325483,4.985,
1657325484,4.809,
1657325485,4.744,
1657325486,5.149,
1657325487,4.939,
1657325488,4.798,
1657325489,4.897,
1657325490,4.897,
1657325491,4.874,
1657325492,4.699,
1657325493,4.954,
1657325494,4.637,
1657325495,4.783,
1657325496,4.634,
1657325497,5.019,
1657325498,4.97,
1657325499,5.538,
1657325500,5.718,
1657325501,5.718,
1657325502,5.676,
1657325503,5.5,
1657325504,5.863,
1657325505,6.008,
1657325506,5.752,
1657325507,5.87,
1657325508,5.893,
1657325509,5.763,
1657325510,4.908,
1657325511,4.908,
1657325512,4.908,
1657325513,4.908,
1657325514,4.908,
1657325515,4.935,
1657325516,4.92,
1657325517,4.977,
1657325518,4.828,
1657325519,4.775,
1657325520,4.931,
1657325521,4.821,
1657325522,4.748,
1657325523,4.92,
1657325524,4.767,
1657325525,4.966,
1657325526,4.836,
1657325527,4.886,
1657325528,4.679,
1657325529,4.851,
1657325530,4.737,
1657325531,4.992,
1657325532,4.84,
1657325533,4.939,
1657325534,4.744,
1657325535,4.966,
1657325536,4.966,
1657325537,4.775,
1657325538,4.802,
1657325539,4.882,
1657325540,4.813,
1657325541,4.977,
1657325542,4.695,
1657325543,4.748,
1657325544,4.863,
1657325545,4.729,
1657325546,5.015,
1657325547,4.786,
1657325548,4.775,
1657325549,4.962,
1657325550,4.783,
1657325551,4.679,
1657325552,4.924,
1657325553,4.867,
1657325554,4.867,
1657325555,4.943,
1657325556,4.912,
1657325557,4.916,
1657325558,4.973,
1657325559,4.973,
1657325560,5.588,
1657325561,5.031,
1657325562,5.347,
1657325563,5.347,
1657325564,5.347,
1657325565,5.409,
1657325566,5.634,
1657325567,5.855,
1657325568,5.569,
1657325569,4.657,
1657325570,4.825,
1657325571,4.912,
1657325572,4.744,
1657325573,4.767,
1657325574,4.966,
1657325575,4.805,
1657325576,4.863,
1657325577,4.718,
1657325578,4.821,
1657325579,4.996,
1657325580,4.721,
1657325581,4.973,
1657325582,4.886,
1657325583,4.79,
1657325584,4.794,
1657325585,4.802,
1657325586,4.821,
1657325587,4.79,
1657325588,4.943,
1657325589,4.985,
1657325590,4.878,
1657325591,4.679,
1657325592,4.771,
1657325593,4.771,
1657325594,4.771,
1657325595,4.637,
1657325596,4.637,
1657325597,4.718,
1657325598,4.958,
1657325599,4.817,
1657325600,4.657,
1657325601,5.0,
1657325602,4.618,
1657325603,4.973,
1657325604,4.744,
1657325605,4.985,
1657325606,4.729,
1657325607,4.763,
1657325608,4.966,
1657325609,4.523,
1657325610,4.523,
1657325611,4.718,
1657325612,4.966,
1657325613,4.855,
1657325614,4.859,
1657325615,4.935,
1657325616,4.653,
1657325617,4.863,
1657325618,4.893,
1657325619,4.893,
1657325620,4.893,
1657325621,4.893,
1657325622,5.702,
1657325623,5.664,
1657325624,5.832,
1657325625,5.76,
1657325626,5.512,
1657325627,5.847,
1657325628,5.809,
1657325629,5.435,
1657325630,4.886,
1657325631,4.905,
1657325632,4.882,
1657325633,4.813,
1657325634,4.733,
1657325635,4.905,
1657325636,4.897,
1657325637,4.897,
1657325638,4.79,
1657325639,4.76,
1657325640,4.496,
1657325641,5.084,
1657325642,4.954,
1657325643,4.825,
1657325644,4.825,
1657325645,4.721,
1657325646,4.695,
1657325647,4.977,
1657325648,4.916,
1657325649,4.779,
1657325650,4.939,
1657325651,4.981,
1657325652,4.905,
1657325653,4.767,
1657325654,4.767,
1657325655,4.737,
1657325656,4.897,
1657325657,4.897,
1657325658,4.832,
1657325659,4.71,
1657325660,4.763,
1657325661,4.676,
1657325662,4.752,
1657325663,4.882,
1657325664,4.882,
1657325665,4.737,
1657325666,4.893,
1657325667,4.683,
1657325668,4.855,
1657325669,4.893,
1657325670,4.832,
1657325671,4.908,
1657325672,4.931,
1657325673,4.79,
1657325674,4.878,
1657325675,4.95,
1657325676,4.87,
1657325677,4.779,
1657325678,4.779,
1657325679,4.779,
1657325680,5.817,
1657325681,5.599,
1657325682,5.416,
1657325683,5.416,
1657325684,5.607,
1657325685,5.351,
1657325686,5.794,
1657325687,5.34,
1657325688,5.573,
1657325689,5.607,
1657325690,4.924,
1657325691,4.924,
1657325692,4.924,
1657325693,4.958,
1657325694,4.836,
1657325695,4.775,
1657325696,4.561,
1657325697,4.95,
1657325698,4.729,
1657325699,4.676,
1657325700,4.676,
1657325701,4.573,
1657325702,4.573,
1657325703,4.805,
1657325704,4.981,
1657325705,4.66,
1657325706,4.954,
1657325707,4.657,
1657325708,4.95,
1657325709,4.653,
1657325710,4.989,
1657325711,4.687,
1657325712,4.966,
1657325713,4.966,
1657325714,4.882,
