time,W,
1657298208,5.855,
1657298209,4.87,
1657298210,4.87,
1657298211,5.069,
1657298212,5.649,
1657298213,5.569,
1657298214,5.023,
1657298215,5.05,
1657298216,5.386,
1657298217,5.641,
1657298218,5.031,
1657298219,5.416,
1657298220,5.603,
1657298221,5.538,
1657298222,5.138,
1657298223,5.538,
1657298224,5.744,
1657298225,5.37,
1657298226,5.519,
1657298227,5.08,
1657298228,5.607,
1657298229,5.168,
1657298230,5.534,
1657298231,5.714,
1657298232,5.557,
1657298233,5.557,
1657298234,5.557,
1657298235,4.813,
1657298236,5.596,
1657298237,5.603,
1657298238,5.603,
1657298239,5.416,
1657298240,5.542,
1657298241,5.531,
1657298242,5.355,
1657298243,5.355,
1657298244,5.008,
1657298245,5.462,
1657298246,5.462,
1657298247,5.496,
1657298248,5.233,
1657298249,4.859,
1657298250,4.859,
1657298251,5.603,
1657298252,5.447,
1657298253,5.29,
1657298254,5.695,
1657298255,5.695,
1657298256,5.695,
1657298257,5.302,
1657298258,5.748,
1657298259,5.958,
1657298260,5.958,
1657298261,5.958,
1657298262,5.985,
1657298263,6.012,
1657298264,5.951,
1657298265,5.951,
1657298266,5.931,
1657298267,5.931,
1657298268,5.931,
1657298269,5.37,
1657298270,5.37,
1657298271,5.29,
1657298272,5.29,
1657298273,5.29,
1657298274,4.97,
1657298275,5.16,
1657298276,5.16,
1657298277,4.996,
1657298278,5.092,
1657298279,4.992,
1657298280,4.992,
1657298281,5.061,
1657298282,5.641,
1657298283,5.05,
1657298284,5.37,
1657298285,5.37,
1657298286,5.607,
1657298287,5.424,
1657298288,5.473,
1657298289,5.252,
1657298290,5.252,
1657298291,5.71,
1657298292,5.283,
1657298293,4.893,
1657298294,5.466,
1657298295,5.561,
1657298296,5.378,
1657298297,5.153,
1657298298,4.958,
1657298299,5.718,
1657298300,5.294,
1657298301,5.294,
1657298302,5.428,
1657298303,5.034,
1657298304,5.363,
1657298305,5.363,
1657298306,5.596,
1657298307,5.096,
1657298308,5.019,
1657298309,5.359,
1657298310,5.08,
1657298311,5.393,
1657298312,5.691,
1657298313,5.099,
1657298314,5.687,
1657298315,5.019,
1657298316,5.141,
1657298317,5.966,
1657298318,5.966,
1657298319,5.966,
1657298320,5.935,
1657298321,5.935,
1657298322,5.962,
1657298323,6.054,
1657298324,6.054,
1657298325,6.008,
1657298326,6.054,
1657298327,5.447,
1657298328,4.889,
1657298329,5.241,
1657298330,5.241,
1657298331,5.336,
1657298332,5.13,
1657298333,5.138,
1657298334,5.138,
1657298335,5.138,
1657298336,5.443,
1657298337,5.443,
1657298338,4.977,
1657298339,5.546,
1657298340,5.084,
1657298341,4.996,
1657298342,5.019,
1657298343,5.477,
1657298344,5.573,
1657298345,4.912,
1657298346,5.729,
1657298347,5.527,
1657298348,5.363,
1657298349,5.099,
1657298350,5.47,
1657298351,4.882,
1657298352,4.882,
1657298353,4.882,
1657298354,5.531,
1657298355,5.221,
1657298356,5.477,
1657298357,4.889,
1657298358,4.889,
1657298359,5.431,
1657298360,5.443,
1657298361,4.863,
1657298362,5.389,
1657298363,5.389,
1657298364,5.512,
1657298365,5.149,
1657298366,5.66,
1657298367,4.935,
1657298368,4.886,
1657298369,5.5,
1657298370,5.397,
1657298371,5.638,
1657298372,5.477,
1657298373,5.477,
1657298374,5.477,
1657298375,5.561,
1657298376,5.26,
1657298377,5.26,
1657298378,5.889,
1657298379,5.889,
1657298380,5.649,
1657298381,5.863,
1657298382,5.878,
1657298383,5.878,
1657298384,5.947,
1657298385,6.05,
1657298386,5.855,
1657298387,5.687,
1657298388,5.05,
1657298389,5.29,
1657298390,5.687,
1657298391,4.981,
1657298392,4.981,
1657298393,4.981,
1657298394,4.939,
1657298395,5.546,
1657298396,5.008,
1657298397,5.649,
1657298398,5.649,
1657298399,5.649,
1657298400,5.649,
1657298401,5.508,
1657298402,5.489,
1657298403,5.489,
1657298404,5.443,
1657298405,5.015,
1657298406,5.599,
1657298407,5.687,
1657298408,5.611,
1657298409,5.481,
1657298410,5.008,
1657298411,5.05,
1657298412,5.622,
1657298413,5.622,
1657298414,5.012,
1657298415,5.012,
1657298416,5.08,
1657298417,4.912,
1657298418,5.279,
1657298419,5.054,
1657298420,5.054,
1657298421,5.054,
1657298422,5.638,
1657298423,5.397,
1657298424,5.21,
1657298425,5.305,
1657298426,4.905,
1657298427,5.061,
1657298428,4.87,
1657298429,5.638,
1657298430,4.966,
1657298431,4.966,
1657298432,4.966,
1657298433,5.076,
1657298434,5.634,
1657298435,5.084,
1657298436,5.641,
1657298437,5.641,
1657298438,5.641,
1657298439,5.97,
1657298440,5.981,
1657298441,5.97,
1657298442,6.019,
1657298443,6.004,
1657298444,6.004,
1657298445,6.004,
1657298446,6.0,
1657298447,5.672,
1657298448,5.004,
1657298449,5.561,
1657298450,5.618,
1657298451,5.618,
1657298452,5.618,
1657298453,5.153,
1657298454,4.973,
1657298455,5.061,
1657298456,5.317,
1657298457,5.718,
1657298458,5.176,
1657298459,5.561,
1657298460,5.149,
1657298461,5.523,
1657298462,5.267,
1657298463,5.542,
1657298464,5.069,
1657298465,5.286,
1657298466,5.477,
1657298467,5.069,
1657298468,5.153,
1657298469,5.37,
1657298470,5.504,
1657298471,5.527,
1657298472,5.386,
1657298473,5.409,
1657298474,5.374,
1657298475,4.989,
1657298476,5.653,
1657298477,5.454,
1657298478,5.454,
1657298479,5.454,
1657298480,5.428,
1657298481,5.367,
1657298482,5.038,
1657298483,5.458,
1657298484,5.134,
1657298485,5.126,
1657298486,5.34,
1657298487,5.13,
1657298488,5.168,
1657298489,5.275,
1657298490,5.481,
1657298491,5.164,
1657298492,5.42,
1657298493,5.489,
1657298494,5.183,
1657298495,5.183,
1657298496,5.183,
1657298497,5.844,
1657298498,5.844,
1657298499,5.844,
1657298500,5.832,
1657298501,5.886,
1657298502,5.867,
1657298503,5.909,
1657298504,6.073,
1657298505,5.943,
1657298506,6.012,
1657298507,5.973,
1657298508,5.008,
1657298509,5.13,
1657298510,5.695,
1657298511,5.47,
1657298512,5.073,
1657298513,5.363,
1657298514,5.37,
1657298515,5.195,
1657298516,5.118,
1657298517,5.428,
1657298518,5.332,
1657298519,5.141,
1657298520,5.477,
1657298521,5.351,
1657298522,5.588,
1657298523,5.256,
1657298524,5.233,
1657298525,4.92,
1657298526,5.496,
1657298527,5.485,
1657298528,5.237,
1657298529,5.237,
1657298530,5.237,
1657298531,5.061,
1657298532,5.298,
1657298533,4.966,
1657298534,5.63,
1657298535,5.111,
1657298536,5.492,
1657298537,5.527,
1657298538,4.935,
1657298539,5.126,
1657298540,5.126,
1657298541,5.298,
1657298542,5.118,
1657298543,5.454,
1657298544,5.454,
1657298545,5.363,
1657298546,5.263,
1657298547,5.202,
1657298548,5.462,
1657298549,5.729,
1657298550,4.992,
1657298551,5.099,
1657298552,5.153,
1657298553,5.214,
1657298554,5.004,
1657298555,4.996,
1657298556,5.863,
1657298557,5.954,
1657298558,5.954,
1657298559,5.973,
1657298560,5.825,
1657298561,5.825,
1657298562,5.825,
1657298563,6.115,
1657298564,5.882,
1657298565,5.882,
1657298566,5.882,
1657298567,5.882,
1657298568,5.599,
1657298569,5.599,
1657298570,5.599,
1657298571,4.958,
1657298572,5.458,
1657298573,5.118,
1657298574,5.481,
1657298575,5.195,
1657298576,5.527,
1657298577,5.034,
1657298578,4.962,
1657298579,5.695,
1657298580,5.538,
1657298581,5.069,
1657298582,5.252,
1657298583,5.538,
1657298584,5.305,
1657298585,5.099,
1657298586,5.347,
1657298587,5.363,
1657298588,5.5,
1657298589,5.512,
1657298590,5.634,
1657298591,5.214,
1657298592,5.172,
1657298593,5.172,
1657298594,5.172,
1657298595,4.92,
1657298596,5.607,
1657298597,5.115,
1657298598,5.386,
1657298599,5.351,
1657298600,5.313,
1657298601,5.176,
1657298602,5.233,
1657298603,5.233,
1657298604,5.233,
1657298605,5.481,
1657298606,5.267,
1657298607,4.92,
1657298608,5.069,
1657298609,5.321,
1657298610,5.321,
1657298611,5.321,
1657298612,5.092,
1657298613,5.492,
1657298614,5.355,
1657298615,5.355,
1657298616,5.355,
1657298617,5.618,
1657298618,6.012,
1657298619,5.863,
1657298620,5.996,
1657298621,5.985,
1657298622,5.985,
1657298623,5.985,
1657298624,5.916,
1657298625,5.928,
1657298626,6.008,
1657298627,6.088,
1657298628,5.393,
1657298629,5.179,
1657298630,5.382,
1657298631,5.538,
1657298632,5.111,
1657298633,5.443,
1657298634,5.389,
1657298635,5.504,
1657298636,5.504,
1657298637,5.221,
1657298638,5.202,
1657298639,5.134,
1657298640,5.076,
1657298641,5.279,
1657298642,5.13,
1657298643,5.141,
1657298644,5.676,
1657298645,5.424,
1657298646,5.55,
1657298647,5.462,
1657298648,5.267,
1657298649,5.702,
1657298650,5.412,
1657298651,5.317,
1657298652,5.752,
1657298653,5.252,
1657298654,5.038,
1657298655,5.225,
1657298656,5.5,
1657298657,5.573,
1657298658,5.172,
1657298659,5.054,
1657298660,5.58,
1657298661,5.057,
1657298662,5.057,
1657298663,5.351,
1657298664,5.691,
1657298665,5.454,
1657298666,5.454,
1657298667,5.454,
1657298668,5.454,
1657298669,5.454,
1657298670,5.454,
1657298671,5.454,
1657298672,5.454,
1657298673,4.886,
1657298674,4.897,
1657298675,5.576,
1657298676,5.645,
1657298677,5.92,
1657298678,5.92,
1657298679,5.92,
1657298680,5.928,
1657298681,5.905,
1657298682,5.763,
1657298683,5.821,
1657298684,5.909,
1657298685,5.882,
1657298686,5.874,
1657298687,5.931,
1657298688,5.931,
1657298689,5.523,
1657298690,5.073,
1657298691,5.034,
1657298692,4.992,
1657298693,5.031,
1657298694,5.47,
1657298695,5.55,
1657298696,5.321,
1657298697,5.012,
1657298698,5.214,
1657298699,5.241,
1657298700,5.004,
1657298701,5.504,
1657298702,5.046,
1657298703,5.496,
1657298704,5.351,
1657298705,5.649,
1657298706,5.649,
1657298707,5.649,
1657298708,5.618,
1657298709,5.523,
1657298710,5.195,
1657298711,5.332,
1657298712,5.122,
1657298713,5.122,
1657298714,5.615,
1657298715,5.615,
1657298716,5.618,
1657298717,5.141,
1657298718,5.405,
1657298719,5.214,
1657298720,5.634,
1657298721,5.58,
1657298722,5.443,
1657298723,5.298,
1657298724,5.618,
1657298725,5.542,
1657298726,5.569,
1657298727,5.149,
1657298728,5.0,
1657298729,5.13,
1657298730,5.164,
1657298731,5.531,
1657298732,5.057,
1657298733,5.477,
1657298734,5.477,
1657298735,5.477,
1657298736,5.477,
1657298737,5.267,
1657298738,6.034,
1657298739,5.836,
1657298740,5.805,
1657298741,6.038,
1657298742,5.935,
1657298743,5.939,
1657298745,5.985,
1657298746,6.054,
1657298747,5.985,
1657298748,5.958,
1657298749,5.63,
1657298750,5.378,
1657298751,5.26,
1657298752,5.26,
1657298753,5.542,
1657298754,5.485,
1657298755,5.389,
1657298756,5.389,
1657298757,5.569,
1657298758,5.569,
1657298759,5.489,
1657298760,5.481,
1657298761,5.534,
1657298762,5.004,
1657298763,5.554,
1657298764,5.0,
1657298765,4.828,
1657298766,5.027,
1657298767,5.084,
1657298768,5.607,
1657298769,5.038,
1657298770,5.611,
1657298771,5.737,
1657298772,4.947,
1657298773,5.66,
1657298774,5.473,
1657298775,5.5,
1657298776,4.928,
1657298777,5.393,
1657298778,5.122,
1657298779,4.87,
1657298780,5.561,
1657298781,5.45,
1657298782,5.596,
1657298783,5.428,
1657298784,4.992,
1657298785,5.645,
1657298786,5.699,
1657298787,5.019,
1657298788,5.252,
1657298789,5.286,
1657298790,5.138,
1657298791,5.206,
1657298792,5.321,
1657298793,5.073,
1657298794,4.924,
1657298795,5.424,
1657298796,4.802,
1657298797,5.004,
1657298798,5.649,
1657298799,6.015,
1657298800,5.779,
1657298801,5.874,
1657298802,5.958,
1657298803,5.97,
1657298804,5.97,
1657298805,5.97,
1657298806,5.97,
1657298807,5.97,
1657298808,6.042,
1657298809,5.325,
1657298810,4.92,
1657298811,5.496,
1657298812,5.454,
1657298813,5.622,
1657298814,5.08,
1657298815,5.344,
1657298816,5.344,
1657298817,4.828,
1657298818,5.389,
1657298819,5.153,
1657298820,5.378,
1657298821,4.817,
1657298822,5.206,
1657298823,5.111,
1657298824,5.638,
1657298825,5.061,
1657298826,4.878,
1657298827,5.512,
1657298828,4.924,
1657298829,5.214,
1657298830,5.076,
1657298831,5.076,
1657298832,5.076,
1657298833,5.607,
1657298834,5.416,
1657298835,5.115,
1657298836,5.241,
1657298837,5.168,
1657298838,4.908,
1657298839,5.538,
