time,W,
1657341692,4.996,
1657341693,4.989,
1657341694,4.737,
1657341695,4.737,
1657341696,4.84,
1657341697,5.012,
1657341698,5.0,
1657341699,5.588,
1657341700,5.638,
1657341701,5.47,
1657341702,5.741,
1657341703,5.741,
1657341704,5.928,
1657341705,5.615,
1657341706,5.588,
1657341707,5.802,
1657341708,5.916,
1657341709,5.863,
1657341710,5.569,
1657341711,4.897,
1657341712,4.897,
1657341713,5.076,
1657341714,5.034,
1657341715,5.012,
1657341716,4.901,
1657341717,5.096,
1657341718,4.905,
1657341719,5.092,
1657341720,5.061,
1657341721,4.886,
1657341722,5.134,
1657341723,4.79,
1657341724,5.118,
1657341725,4.977,
1657341726,4.809,
1657341727,5.092,
1657341728,5.092,
1657341729,4.962,
1657341730,5.061,
1657341731,5.054,
1657341732,4.962,
1657341733,5.061,
1657341734,4.886,
1657341735,5.0,
1657341736,5.0,
1657341737,5.0,
1657341738,5.138,
1657341739,5.0,
1657341740,5.065,
1657341741,5.023,
1657341742,5.027,
1657341743,5.0,
1657341744,4.763,
1657341745,5.069,
1657341746,5.015,
1657341747,5.015,
1657341748,4.87,
1657341749,4.87,
1657341750,4.939,
1657341751,5.057,
1657341752,5.122,
1657341753,4.996,
1657341754,5.084,
1657341755,5.084,
1657341756,4.821,
1657341757,5.084,
1657341758,4.973,
1657341759,5.909,
1657341760,5.584,
1657341761,5.554,
1657341762,5.702,
1657341763,6.05,
1657341764,5.702,
1657341765,5.702,
1657341766,5.702,
1657341767,5.706,
1657341768,5.401,
1657341769,5.909,
1657341770,5.134,
1657341771,4.935,
1657341772,5.237,
1657341773,5.034,
1657341774,5.073,
1657341775,5.034,
1657341776,5.034,
1657341777,4.779,
1657341778,5.031,
1657341779,4.95,
1657341780,4.924,
1657341781,4.981,
1657341782,5.065,
1657341783,5.061,
1657341784,4.939,
1657341785,5.015,
1657341786,5.0,
1657341787,4.924,
1657341788,5.031,
1657341789,4.882,
1657341790,4.996,
1657341791,4.893,
1657341792,4.882,
1657341793,4.886,
1657341794,4.851,
1657341795,4.851,
1657341796,5.076,
1657341797,5.08,
1657341798,4.882,
1657341799,4.954,
1657341800,4.748,
1657341801,5.069,
1657341802,4.874,
1657341803,4.992,
1657341804,4.756,
1657341805,4.985,
1657341806,4.825,
1657341807,5.023,
1657341808,5.023,
1657341809,4.935,
1657341810,4.947,
1657341811,4.928,
1657341812,4.87,
1657341813,4.977,
1657341814,5.076,
1657341815,4.878,
1657341816,4.996,
1657341817,4.886,
1657341818,4.886,
1657341819,4.886,
1657341820,5.561,
1657341821,5.867,
1657341822,5.924,
1657341823,5.924,
1657341824,5.481,
1657341825,5.302,
1657341826,5.256,
1657341827,5.771,
1657341828,5.771,
1657341829,5.504,
1657341830,5.504,
1657341831,5.054,
1657341832,5.031,
1657341833,5.038,
1657341834,5.153,
1657341835,5.076,
1657341836,5.019,
1657341837,5.103,
1657341838,5.004,
1657341839,5.054,
1657341840,4.897,
1657341841,4.863,
1657341842,4.928,
1657341843,4.863,
1657341844,4.981,
1657341845,5.092,
