Accuracy, Latency, Energy,
efficientnet
93.0, 1338.8366, 8105.1050
93.0, 1335.1433, 7956.3870
93.0, 1342.3786, 7023.4460
efficientnet.uint8quant
92.93, 1820.9008, 9240.8690
92.93, 1819.4857, 9208.0160
92.93, 1821.3990, 9256.7950
efficientnet.uint8quant_static
92.7, 484.6768, 2686.7710
92.7, 485.8371, 2699.9590
92.7, 485.3088, 2694.2230
efficientnet_0.2
90.03, 1103.5304, 5785.9650
90.03, 1104.4642, 5742.7000
90.03, 1102.5262, 5767.6640
efficientnet_0.2.uint8quant
89.75, 1475.5925, 7516.4620
89.75, 1478.4449, 7532.5150
89.75, 1479.9799, 7552.6170
efficientnet_0.2.uint8quant_static
89.28, 447.6745, 2486.0310
89.28, 447.5529, 2478.8960
89.28, 448.5684, 2487.5890
